ToolKitProtoRuntimeRequirement.DeviceCapability	2	capability	singular_presence	enum	ToolKit.ToolKitProtoRuntimeRequirement.DeviceCapability.DeviceCapabilityType	0	11
ToolKitProtoRuntimeRequirement.DeviceCapability.MobileGestalt	1	key	singular	string			8
ToolKitProtoRuntimeRequirement.DeviceCapability.MobileGestalt	2	value	singular	bool			5
ToolKitProtoRuntimeRequirement.FeatureFlag	1	domain	singular	string			66
ToolKitProtoRuntimeRequirement.FeatureFlag	2	feature	singular	string			66
ToolKitProtoRuntimeRequirement.FeatureFlag	3	value	singular	bool			66
ToolKitProtoSystemToolProtocol	1	unknown	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	5
ToolKitProtoSystemToolProtocol	2	undoable	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	4
ToolKitProtoSystemToolProtocol	3	sessionStarting	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	3
ToolKitProtoSystemToolProtocol	4	urlRepresentable	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	168
ToolKitProtoSystemToolProtocol	6	foregroundContinuable	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	7
ToolKitProtoSystemToolProtocol	7	changeBinarySetting	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	4
ToolKitProtoSystemToolProtocol	8	requiresMdmChecks	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	3
ToolKitProtoSystemToolProtocol	13	resize	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	1
ToolKitProtoSystemToolProtocol	17	closeEntity	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	4
ToolKitProtoSystemToolProtocol	18	createEntity	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	24
ToolKitProtoSystemToolProtocol	20	deleteEntity	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	35
ToolKitProtoSystemToolProtocol	22	favoriteEntity	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	1
ToolKitProtoSystemToolProtocol	23	openEntity	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	235
ToolKitProtoSystemToolProtocol	26	putEntityInContainer	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	3
ToolKitProtoSystemToolProtocol	28	audioStarting	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	32
ToolKitProtoSystemToolProtocol	29	audioRecording	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	14
ToolKitProtoSystemToolProtocol	37	focusConfiguration	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	4
ToolKitProtoSystemToolProtocol	38	widgetConfiguration	singular_presence	enum	InternalSwiftProtobuf.Google_Protobuf_NullValue	0	19
