296ae7b64	_$s7ToolKit0A8DatabaseC8AccessorC7iterate4over5scope6locale5blockyAA0A15DefinitionQueryV_AA0abC12RequestScopeO10Foundation6LocaleVyAA0aJ0VKctKF	ToolKit.ToolDatabase.Accessor.iterate(over: ToolKit.ToolDefinitionQuery, scope: ToolKit.ToolKitDatabaseRequestScope, locale: Foundation.Locale, block: (ToolKit.ToolDefinition) throws -> ()) throws -> ()
296ae7cbc	_$s7ToolKit0A8DatabaseC7iterate4over5scope6locale5blockyAA0A15DefinitionQueryV_AA0abC12RequestScopeO10Foundation6LocaleVyAA0aI0VKctYaKF	ToolKit.ToolDatabase.iterate(over: ToolKit.ToolDefinitionQuery, scope: ToolKit.ToolKitDatabaseRequestScope, locale: Foundation.Locale, block: (ToolKit.ToolDefinition) throws -> ()) async throws -> ()
296ae8e24	_$s7ToolKit0A8DatabaseC7trigger8matching6localeAA17TriggerDefinitionVSgAA0gH5QueryV_10Foundation6LocaleVtKF	ToolKit.ToolDatabase.trigger(matching: ToolKit.TriggerDefinitionQuery, locale: Foundation.Locale) throws -> ToolKit.TriggerDefinition?
296ae8eb8	_$s7ToolKit0A8DatabaseC8AccessorC7trigger8matching6localeAA17TriggerDefinitionVSgAA0hI5QueryV_10Foundation6LocaleVtKF	ToolKit.ToolDatabase.Accessor.trigger(matching: ToolKit.TriggerDefinitionQuery, locale: Foundation.Locale) throws -> ToolKit.TriggerDefinition?
296ae9028	_$s7ToolKit0A8DatabaseC8triggers8matching5scope6localeSayAA17TriggerDefinitionVGAA0hI5QueryV_AA0abC12RequestScopeO10Foundation6LocaleVtKF	ToolKit.ToolDatabase.triggers(matching: ToolKit.TriggerDefinitionQuery, scope: ToolKit.ToolKitDatabaseRequestScope, locale: Foundation.Locale) throws -> [ToolKit.TriggerDefinition]
296ae90d0	_$s7ToolKit0A8DatabaseC8AccessorC8triggers8matching5scope6localeSayAA17TriggerDefinitionVGAA0iJ5QueryV_AA0abC12RequestScopeO10Foundation6LocaleVtKF	ToolKit.ToolDatabase.Accessor.triggers(matching: ToolKit.TriggerDefinitionQuery, scope: ToolKit.ToolKitDatabaseRequestScope, locale: Foundation.Locale) throws -> [ToolKit.TriggerDefinition]
296ae9270	_$s7ToolKit0A8DatabaseC5count4overSiAA22TriggerDefinitionQueryV_tKF	ToolKit.ToolDatabase.count(over: ToolKit.TriggerDefinitionQuery) throws -> Swift.Int
296ae9308	_$s7ToolKit0A8DatabaseC8AccessorC5count4overSiAA22TriggerDefinitionQueryV_tKF	ToolKit.ToolDatabase.Accessor.count(over: ToolKit.TriggerDefinitionQuery) throws -> Swift.Int
296ae94f4	_$s7ToolKit0A8DatabaseC7iterate4over5scope6locale5blockyAA22TriggerDefinitionQueryV_AA0abC12RequestScopeO10Foundation6LocaleVyAA0iJ0VKXEtKF	ToolKit.ToolDatabase.iterate(over: ToolKit.TriggerDefinitionQuery, scope: ToolKit.ToolKitDatabaseRequestScope, locale: Foundation.Locale, block: (ToolKit.TriggerDefinition) throws -> ()) throws -> ()
296ae95a0	_$s7ToolKit0A8DatabaseC8AccessorC7iterate4over5scope6locale5blockyAA22TriggerDefinitionQueryV_AA0abC12RequestScopeO10Foundation6LocaleVyAA0jK0VKXEtKF	ToolKit.ToolDatabase.Accessor.iterate(over: ToolKit.TriggerDefinitionQuery, scope: ToolKit.ToolKitDatabaseRequestScope, locale: Foundation.Locale, block: (ToolKit.TriggerDefinition) throws -> ()) throws -> ()
296ae9d04	_$s7ToolKit0A8DatabaseC15toolPythonNames8matching6localeSaySSGAA0A15DefinitionQueryV_10Foundation6LocaleVtKF	ToolKit.ToolDatabase.toolPythonNames(matching: ToolKit.ToolDefinitionQuery, locale: Foundation.Locale) throws -> [Swift.String]
296ae9e14	_$s7ToolKit0A8DatabaseC8AccessorC15toolPythonNames8matching6localeSaySSGAA0A15DefinitionQueryV_10Foundation6LocaleVtKF	ToolKit.ToolDatabase.Accessor.toolPythonNames(matching: ToolKit.ToolDefinitionQuery, locale: Foundation.Locale) throws -> [Swift.String]
296aea24c	_$s7ToolKit0A8DatabaseC18triggerPythonNames8matching6localeSaySSGAA22TriggerDefinitionQueryV_10Foundation6LocaleVtKF	ToolKit.ToolDatabase.triggerPythonNames(matching: ToolKit.TriggerDefinitionQuery, locale: Foundation.Locale) throws -> [Swift.String]
296aea2e8	_$s7ToolKit0A8DatabaseC8AccessorC18triggerPythonNames8matching6localeSaySSGAA22TriggerDefinitionQueryV_10Foundation6LocaleVtKF	ToolKit.ToolDatabase.Accessor.triggerPythonNames(matching: ToolKit.TriggerDefinitionQuery, locale: Foundation.Locale) throws -> [Swift.String]
296b4c1b8	_$s7ToolKit0A15DefinitionQueryV4from6deviceAcA09ContainerC0V6DeviceO_tFZ	static ToolKit.ToolDefinitionQuery.from(device: ToolKit.ContainerDefinition.Device) -> ToolKit.ToolDefinitionQuery
296b4c31c	_$s7ToolKit0A15DefinitionQueryV5localACyFZ	static ToolKit.ToolDefinitionQuery.local() -> ToolKit.ToolDefinitionQuery
